,Title
15,Portrait of Benjamin Franklin
20,Apple Blossoms
21,Plaque of George Washington
22,Janet Halleck Drake
23,Orange Branch
24,Pasture at Evening
25,"""King Lear,"" Act I, Scene I"
26,"Leete Farm, West Claremont, New Hampshire"
27,In the Laboratory
28,Geraldine Russell
29,Repose
30,The Ring
31,Study in Black and Green
32,Walt Whitman
33,The Spanish Girl in Reverie
34,A Study from Life [and] Study for Angel Releasing Saint Peter from Prison
35,Philip Van Cortlandt
36,James Topham Brady
37,The Children of Nathan Starr
38,The Way They Live
39,Hudson's Bay Lemming
40,Benjamin Franklin
41,Portrait of Benjamin Franklin
42,Portrait of the Marquis de Lafayette
43,James Badger
44,New York Harbor with Brooklyn Bridge
45,John F. Kensett
46,Mrs. William Loring Andrews
47,American Eagle on Red Scroll
48,Ernesta
49,Ernesta (Child with Nurse)
50,Mr. and Mrs. Anson Phelps Stokes
51,Lake of Orta
52,Mrs. Benjamin Simons
53,Portrait of a Gentleman
54,Children in Woods
55,Portrait of a Lady
56,Two Boys
57,Canadian Rockies (Lake Louise)
58,"Merced River, Yosemite Valley"
59,Mountain Scene
60,"Nevada Falls, Yosemite"
61,"The Rocky Mountains, Lander's Peak"
62,Sea Cove
63,Study of a Tree
64,Sunrise on the Matterhorn
65,Fur Traders Descending the Missouri
66,Mary Sylvester
67,Mrs. David Chesebrough
68,Mrs. Samuel Cutts
69,Samuel Cutts
70,The Boulder and the Flume
71,An Indian Encampment
72,Landscape
73,The Pipe Dance
74,"A Waterfall, Moonlight"
75,"Design for the Washington Centennial Celebration, Souvenir"
76,Luigi Palma di Cesnola
77,The Ameya
78,"View from the Artist's Window, Grove Street"
79,Corn Husking
80,"Seventh Regiment on Review, Washington Square, New York"
81,"Chale, Isle of Wight, Looking Towards the Needles"
82,September Evening
83,On the Thames
84,An Arctic Summer: Boring Through the Pack in Melville Bay
85,Shipwreck off Nantucket (Wreck off Nantucket after a Storm)
86,Emma Homan
87,Marine Landscape
88,"View at Amalfi, Bay of Salerno"
89,Meditation
90,The Music Lesson
91,To Decide the Question
92,Lady with a Dog
93,Portrait of a Young Woman
94,"Spring, Luxembourg Garden"
95,Alan Harriman
96,Henry George
97,In the Garden
98,Mother and Child
99,Early Morning—Venice
100,Eleanor Hardy Bunker
101,Consolation of Ariadne
102,Eurydice Bitten by the Snake
103,"Yankee Point, Monterey"
104,"Un Jardin, Maison Baptiste"
105,"Wall Street, Half Past Two, October 13, 1857"
106,After a Long Cruise
107,Blackfish and Clams
108,The Open Sea
109,Mountain Lake Scene
110,The Cup of Tea
111,Lady at the Tea Table
112,Lydia Crocheting in the Garden at Marly
113,Mother and Child (Baby Getting Up from His Nap)
114,Mother and Child (The Oval Mirror)
115,Mother and Child with a Rose Scarf
116,Portrait of a Young Girl
117,The Last Throw
118,Spring: Margot Standing in a Garden (Fillette dans un jardin)
119,Taking the Census
120,Young Mother Sewing
121,Violin and Bow
122,The Constitution and the Guerriere
123,"Screen: ""Porcupines"" and ""Nightmare"""
124,The Roman Campagna
125,George Washington: Design for an Engraving
126,Adult Funeral Procession
127,Baked Pears in Duane Park
128,Baptism
129,Bathing Party
130,Berg's Ship Yard
131,The Boot Black
132,Bull's Head Tavern
133,Buttermilk Pedlar
134,Chimney Sweeps
135,City Watchman
136,The Dog Killer
137,Fighting a Fire
138,Firemen's Washing Day
139,Fly Market
140,The Garbage Cart
141,Hot Corn Seller
142,House Raising
143,Infant Funeral Procession
144,The Lamp Lighter
145,Militia Drilling
146,Old Ferry Stairs
147,The Sewer
148,Strawberry Pedlar
149,Tea Party
150,Tea Rusk and Brick House
151,Tea water pump
152,The Baker's Wagon
153,At the Seaside
154,Carmencita
155,Edward Guthrie Kennedy
156,Fish
157,For the Little One
158,James Abbott McNeill Whistler
159,Lady in Black
160,Mrs. Chase in Prospect Park
161,Bessie Potter
162,Pink Azalea—Chinese Vase
163,Roland
164,Seventeenth Century Lady
165,Still Life: Fish
166,Houqua
167,The Aegean Sea
168,Heart of the Andes
169,The Parthenon
170,Bay and Harbor of New York from Bedlow's Island
171,Bay and Harbor of New York from Bedlow's Island
172,The Rain
173,The Mountain Ford
174,"View from Mount Holyoke, Northampton, Massachusetts, after a Thunderstorm—The Oxbow"
175,The Titan's Goblet
176,A View near Tivoli (Morning)
177,View on the Catskill—Early Autumn
178,Alexander Stewart Wetherill
